Inn_1,Inn_2,Runs,BF,SR,Fours,Sixes
1,28,29,102,28.43,5,0
18,120,138,252,54.76,21,1
14,19,33,78,42.3,2,1
47,32,79,117,67.52,7,2
0,-,0,2,0,0,0
0,0,0,14,0,0,0
79,35,114,142,80.28,15,1
8,DNB,8,23,34.78,0,0
22,32,54,93,58.06,8,0
92,101,193,186,103.76,30,4
6,29,35,68,51.47,5,0
52,42,94,137,68.61,15,2
87,0,87,131,66.41,13,1
0,DNB,0,2,0,0,0
5,-,5,10,50,1,0
15,0,15,29,51.72,2,0
57,2,59,91,64.83,7,0
4,13,17,79,21.51,2,0
0,12,12,22,54.54,1,0
21,5,26,48,54.16,5,0
258,26,284,232,122.41,34,11
58,DNB,58,54,107.4,9,1
33,10,43,43,100,7,1
12,-,12,9,133.33,3,0
34,DNB,34,51,66.66,5,0
18,85,103,185,55.67,6,4
0,25,25,40,62.5,2,1
128,29*,157,264,59.46,18,2
70,6,76,190,40,11,0
29,5,34,78,43.58,6,0
31,18,49,122,40.16,5,1
6,23,29,86,33.72,4,0
56,1,57,112,50.89,8,1
0,18,18,56,32.14,3,0
112,31,143,191,74.86,11,5
58,23,81,150,54,13,0
10,-,10,14,71.42,2,0
100,58,158,232,68.1,28,0
60,DNB,60,74,81.08,10,0
0,66,66,196,33.67,6,0
25,12,37,84,44.04,6,0
38,9,47,74,63.51,7,1
21,6,27,54,50,2,0
10,62,72,200,36,8,0
23,30,53,189,28.04,5,0
11,37,48,76,63.15,7,1
7,62,69,112,61.6,5,3
19,0,19,29,65.51,2,0
57,42,99,151,65.56,9,2
0,34,34,99,34.34,3,1
14,11,25,47,53.19,3,0
79,48*,127,250,50.8,12,1
50,6,56,124,45.16,9,0
13,115*,128,187,68.44,14,3
8,135*,143,232,61.63,12,8
26,1,27,79,34.17,3,0
20,67,87,151,57.61,7,2
91,28,119,230,51.73,17,0
26,-,26,59,44.06,4,0
35,14,49,101,48.51,6,2
47,72,119,124,95.96,13,4
120,-,120,214,56.07,12,2
2,28,30,34,88.23,6,0
43,46,89,176,50.56,13,0
176,78*,254,413,61.5,21,5
20,DNB,20,43,46.51,2,0
0,9,9,27,33.33,2,0
